,amenities,area,homestay_name,place,price,region
16,"['Essentials', 'TV', 'Cable TV', 'Air Conditioning', 'Kitchen', 'Wireless Internet', 'Washer', 'Pool', 'Dryer', 'Breakfast', 'Free Parking on Premises', 'Shampoo', 'Family/Kid Friendly', 'Suitable for Events', '', '', '', '', 'First Aid Kit', 'Fire Extinguisher']",vagator,Heritage Goan Villa w/ Private Pool, Goa ,29599,north goa
17,"['Essentials', 'Air Conditioning', 'Internet', 'Wireless Internet', 'Breakfast', 'Free Parking on Premises', 'Shampoo', 'Family/Kid Friendly', 'Smoking Allowed', '', '', 'First Aid Kit']",chikhli,Artisanale Colvale, Goa ,7500,unknown
18,"['Essentials', 'TV', 'Kitchen', 'Wireless Internet', 'Washer', 'Breakfast', 'Free Parking on Premises', 'Shampoo', 'Family/Kid Friendly', 'Smoking Allowed', 'Suitable for Events', 'Pets Allowed', '', '', 'First Aid Kit']",bastora,A Portuguese Homestay near Baga, Goa ,17500,unknown
0,"['TV', 'Room Service', 'Laundry', 'Wireless Internet', 'Coffee Maker', 'Hot water', 'House keeping', 'Fire Safety', 'Air conditioning']",  vagator,Jackies Daynite - A Wandertrails Stay , goa,1625, north goa
1,"['TV', 'Room Service', 'Wireless Internet', 'Coffee Maker', 'Hot water', 'House keeping', 'Air conditioning']",  vagator,Brisa Do Mar - A Wandertrails Stay , goa,2875, north goa
2,"['Dining', 'TV', 'Room Service', 'Wireless Internet', 'Swimming Pool', 'Hot water', 'House keeping', 'Power backup', 'Air conditioning']",  cansaulim,A Portuguese-style home for a true Goan holiday! , goa,2500, south goa
3,"['Dining', 'TV', 'Room Service', 'Laundry', 'Wireless Internet', 'Bathtub', 'Coffee Maker', 'Toiletries', 'Hot water', 'House keeping', 'Recreation', 'Fire Safety', 'Power backup', 'Air conditioning']",  dona paula,Live the Goan way! Stay in Dona Paula , goa,7080, north goa
4,"['TV', 'Wireless Internet', 'Toiletries', 'Hot water', 'House keeping']",  candolim,A homely dwelling for a Goan getaway in Candolim , goa,941, north goa
5,"['Dining', 'TV', 'Room Service', 'Laundry', 'Wireless Internet', 'Coffee Maker', 'Toiletries', 'Hot water', 'House keeping', 'Fire Safety', 'Power backup', 'Air conditioning']",  altinho,A heritage stay in the colonial quarters of Panjim , goa,3250, north goa
6,"['Dining', 'Pet Friendly', 'Laundry', 'Swimming Pool', 'Coffee Maker', 'Toiletries', 'Hot water', 'House keeping', 'Recreation', 'Fire Safety']",  olaulim,"Unbridled charm with a touch of rustic, by the Mandovi river ", goa,12160, bardez
7,"['TV', 'Laundry', 'Wireless Internet', 'Coffee Maker', 'Toiletries', 'Hot water', 'Recreation', 'House keeping', 'Fire Safety', 'Air conditioning']",  saligao,A journey back in time - an Indo-Portuguese style homestay , goa,3000, north goa
8,"['Laundry', 'Wireless Internet', 'Toiletries', 'Hot water', 'House keeping', 'Air conditioning']",  altinho,A homestay with an exquisite colonial charm in Panaji , goa,2950, north goa
9,"['Dining', 'TV', 'Room Service', 'Laundry', 'Wireless Internet', 'Toiletries', 'Hot water', 'House keeping', 'Recreation', 'Fire Safety', 'Power backup', 'Air conditioning']",  palolem,A simple homestay in Goa on the beautiful Palolem beach , goa,5882, south goa
10,"['Dining', 'TV', 'Room Service', 'Laundry', 'Wireless Internet', 'Coffee Maker', 'Toiletries', 'Hot water', 'House keeping', 'Fire Safety', 'Power backup', 'Air conditioning']",  candolim,Rustic homestay in Candolim of North Goa , goa,2941, north goa
11,"['Dining', 'Pet Friendly', 'Room Service', 'Laundry', 'Wireless Internet', 'Toiletries', 'Hot water', 'House keeping', 'Fire Safety', 'Power backup', 'Air conditioning']",  assagao,A homestay in Goa - Portuguese charm and hospitality in Assagao , goa,2800, north goa
12,"['Dining', 'Laundry', 'Wireless Internet', 'Coffee Maker', 'Toiletries', 'Hot water', 'House keeping', 'Recreation', 'Fire Safety', 'Power backup', 'Air conditioning']",  margao,Stay in the 19th Century Homestay , goa,5900, south goa
13,"['Dining', 'TV', 'Room Service', 'Laundry', 'Wireless Internet', 'Toiletries', 'Hot water', 'House keeping', 'Power backup', 'Air conditioning']",  baga,Homestay to enjoy the carnival spirit of Baga beach! , goa,1300, north goa
14,"['Dining', 'TV', 'Room Service', 'Laundry', 'Wireless Internet', 'Toiletries', 'Hot water', 'House keeping', 'Power backup', 'Air conditioning']",  calangute,A Goan homestay near the serene beach of Calangute , goa,1250, north goa
